year,month,numb_strand
1990,1,1
1990,2,1
1990,3,0
1990,4,0
1990,5,1
1990,6,1
1990,7,1
1990,8,2
1990,9,7
1990,10,11
1990,11,8
1990,12,5
1991,1,3
1991,2,3
1991,3,1
1991,4,1
1991,5,0
1991,6,1
1991,7,1
1991,8,1
1991,9,3
1991,10,1
1991,11,0
1991,12,2
1992,1,0
1992,2,0
1992,3,1
1992,4,1
1992,5,1
1992,6,2
1992,7,1
1992,8,1
1992,9,1
1992,10,2
1992,11,2
1992,12,1
1993,1,1
1993,2,0
1993,3,2
1993,4,1
1993,5,2
1993,6,2
1993,7,0
1993,8,0
1993,9,1
1993,10,0
1993,11,1
1993,12,0
1994,1,1
1994,2,1
1994,3,1
1994,4,1
1994,5,1
1994,6,1
1994,7,0
1994,8,1
1994,9,1
1994,10,1
1994,11,1
1994,12,3
1995,1,1
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,1
1995,8,1
1995,9,0
1995,10,1
1995,11,1
1995,12,1
1996,1,1
1996,2,1
1996,3,1
1996,4,0
1996,5,1
1996,6,0
1996,7,0
1996,8,1
1996,9,2
1996,10,3
1996,11,1
1996,12,2
1997,1,3
1997,2,3
1997,3,0
1997,4,0
1997,5,2
1997,6,0
1997,7,1
1997,8,1
1997,9,2
1997,10,2
1997,11,1
1997,12,2
1998,1,3
1998,2,4
1998,3,1
1998,4,1
1998,5,1
1998,6,1
1998,7,0
1998,8,1
1998,9,1
1998,10,2
1998,11,0
1998,12,2
1999,1,2
1999,2,1
1999,3,1
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,1
2000,3,1
2000,4,1
2000,5,1
2000,6,0
2000,7,0
2000,8,1
2000,9,1
2000,10,1
2000,11,1
2000,12,1
2001,1,0
2001,2,0
2001,3,1
2001,4,2
2001,5,0
2001,6,0
2001,7,0
2001,8,1
2001,9,3
2001,10,4
2001,11,3
2001,12,0
2002,1,1
2002,2,1
2002,3,1
2002,4,1
2002,5,1
2002,6,2
2002,7,0
2002,8,2
2002,9,0
2002,10,2
2002,11,1
2002,12,1
2003,1,2
2003,2,2
2003,3,2
2003,4,2
2003,5,2
2003,6,1
2003,7,1
2003,8,2
2003,9,1
2003,10,6
2003,11,6
2003,12,1
2004,1,1
2004,2,3
2004,3,3
2004,4,2
2004,5,1
2004,6,1
2004,7,1
2004,8,1
2004,9,0
2004,10,2
2004,11,1
2004,12,0
2005,1,0
2005,2,0
2005,3,1
2005,4,1
2005,5,1
2005,6,1
2005,7,0
2005,8,3
2005,9,1
2005,10,1
2005,11,1
2005,12,2
2006,1,1
2006,2,0
2006,3,4
2006,4,1
2006,5,2
2006,6,1
2006,7,2
2006,8,1
2006,9,2
2006,10,1
2006,11,2
2006,12,2
2007,1,2
2007,2,1
2007,3,1
2007,4,2
2007,5,2
2007,6,1
2007,7,2
2007,8,1
2007,9,2
2007,10,2
2007,11,4
2007,12,3
2008,1,4
2008,2,8
2008,3,2
2008,4,3
2008,5,2
2008,6,2
2008,7,2
2008,8,2
2008,9,2
2008,10,1
2008,11,2
2008,12,1
2009,1,2
2009,2,2
2009,3,1
2009,4,4
2009,5,2
2009,6,1
2009,7,2
2009,8,0
2009,9,2
2009,10,1
2009,11,1
2009,12,2
2010,1,2
2010,2,4
2010,3,4
2010,4,1
2010,5,1
2010,6,1
2010,7,1
2010,8,2
2010,9,2
2010,10,2
2010,11,1
2010,12,3
2011,1,2
2011,2,2
2011,3,2
2011,4,3
2011,5,1
2011,6,1
2011,7,2
2011,8,1
2011,9,3
2011,10,4
2011,11,7
2011,12,2
2012,1,3
2012,2,3
2012,3,3
2012,4,1
2012,5,1
2012,6,0
2012,7,1
2012,8,1
2012,9,1
2012,10,2
2012,11,2
2012,12,1
2013,1,1
2013,2,1
2013,3,4
2013,4,1
2013,5,1
2013,6,1
2013,7,1
2013,8,2
2013,9,1
2013,10,1
2013,11,1
2013,12,1
2014,1,1
2014,2,0
2014,3,1
2014,4,0
2014,5,1
2014,6,0
2014,7,0
2014,8,1
2014,9,0
2014,10,2
2014,11,2
2014,12,2
2015,1,3
2015,2,1
2015,3,1
2015,4,2
2015,5,0
2015,6,0
2015,7,2
2015,8,0
2015,9,2
2015,10,1
2015,11,5
2015,12,2
2016,1,1
2016,2,1
2016,3,2
2016,4,2
2016,5,2
2016,6,1
2016,7,1
2016,8,3
2016,9,1
2016,10,1
2016,11,2
2016,12,2
